S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai(C),130375,73398,7435,184561,12245,2669,36568,0,0,5536,1896,67,999,963,10,8794,1104,9537,4846,864,835,4062
2,Greater Mumbai,Mumbai(W),155485,126241,15198,146701,5956,956,10675,0,60505,0,1839,677,210,332,0,4050,143,4047,13338,417,69,106
3,Greater Mumbai,Mumbai€,79401,50033,10326,51636,4153,243,10806,0,43599,0,730,109,193,141,0,2076,531,2744,3723,125,82,580
4,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thane Region,Thane,253807,134204,12785,181737,36453,715,11982,0,70688,846,5538,199,1264,416,2723,60616,10751,36154,20119,1207,5083,987
6,Thane Region,Kalyan,91888,60008,8860,16935,3488,87,1389,0,32409,342,380,37,121,179,6,6334,492,2898,5391,203,250,106
7,Thane Region,Vashi Navi Mumbai,10864,411,0,9628,1856,0,643,0,1224,17,710,0,97,31,335,3107,0,724,354,0,29,0
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,80517,45455,2315,32374,10767,316,8659,0,18911,16,250,209,92,244,2926,10240,1132,6800,3619,440,662,1162
11,Panvel Region,Ratnagiri,48910,20750,3968,7853,3941,483,221,0,13916,588,150,41,58,144,27,4413,105,3631,2668,459,509,68
12,Panvel Region,Sindhudurg,25436,9896,3451,2814,766,725,24,0,8468,342,14,13,29,51,1,1365,30,1234,1032,270,317,23
13,Kolhapur Region,Kolhapur,204537,63738,58631,24378,14790,707,367,0,12149,951,390,15,29,159,31,7910,744,5115,3266,12097,15117,186
14,Kolhapur Region,Sangli,140030,34967,33875,12249,9004,297,683,0,6023,804,40,17,19,93,12,4848,261,4662,2658,10041,10374,131
15,Kolhapur Region,Satara,142037,23185,25806,12203,9420,180,2547,0,7708,1058,52,37,19,86,28,4815,214,5059,3902,12769,12981,122
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,478096,279346,165232,124603,29097,949,6371,0,56088,4998,2642,302,1238,802,41,22923,2861,11748,14153,12937,8826,1503
