S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai(C),84289,62444,7289,164758,12727,2705,40451,0,0,5394,1881,64,829,902,0,9022,1214,9329,4079,867,866,3761
2,Greater Mumbai,Mumbai(W),80320,96297,15230,110397,5465,962,11460,0,60128,0,3853,594,605,298,0,5637,117,5019,9517,370,127,445
3,Greater Mumbai,Mumbai€,39930,44932,9786,42945,4439,472,10536,0,41786,0,976,49,279,158,0,3811,697,4180,4004,124,170,577
4,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thane Region,Thane,130448,104028,9304,96933,23755,730,3320,0,54827,791,1864,96,1030,206,0,42289,8159,21309,8228,1107,4352,740
6,Thane Region,Kalyan,42910,53177,7143,10968,3183,97,921,0,26440,326,303,26,98,96,0,5897,308,1998,3853,141,217,83
7,Thane Region,Vashi Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,37045,37112,3324,19977,7991,307,3339,0,14639,633,150,42,152,157,0,8223,628,3855,2784,420,566,384
11,Panvel Region,Ratnagiri,24967,18102,3962,5508,3374,460,147,0,9544,588,129,35,50,67,0,4065,60,2829,1831,388,425,53
12,Panvel Region,Sindhudurg,13821,9013,1562,1720,675,616,19,0,5969,342,16,9,23,11,0,1217,23,1040,724,185,255,24
13,Kolhapur Region,Kolhapur,114337,59771,50191,14785,9803,611,316,0,10912,929,275,12,14,86,0,7697,632,4431,1595,10694,13524,100
14,Kolhapur Region,Sangli,85470,31122,25747,7875,7036,225,436,0,5107,886,34,15,16,38,0,4103,214,3836,1129,8570,9208,110
15,Kolhapur Region,Satara,85172,21676,21043,7126,7885,286,1220,0,6373,954,53,24,7,41,0,4464,189,4194,1604,11221,11936,97
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,298267,228414,138551,74957,26544,946,3736,0,51798,4946,1313,64,1212,677,0,22016,2654,11144,9978,12801,10850,1406
18,Pune Region,Solapur,89774,27886,44711,7384,8165,206,287,0,6403,241,68,10,14,67,0,5550,282,3802,1369,8099,8873,12
19,Pune Region,Pimpri-Chinchwad,88909,70220,27385,15511,7987,72,536,0,4816,349,394,13,826,206,0,4108,290,5565,4646,3848,1923,156
20,Pune Region,Baramati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Pune Region,Akluj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Nashik Region,Nashik,158162,70368,41668,22601,16529,89,2562,0,20738,779,140,148,76,138,0,7716,369,6752,2243,23244,18268,589
23,Nashik Region,Ahmednagar,60271,19348,28290,3346,4177,261,320,0,3085,746,27,13,5,20,0,2408,119,2212,1159,6506,5719,12
24,Nashik Region,Srirampur,75881,8638,14196,5041,5206,775,1287,0,2582,0,11,61,49,78,0,2905,221,2335,940,10568,10345,60
25,Nashik Region,Malegaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Dhule Region,Dhule,42961,14177,16816,4037,3503,165,952,0,6635,621,131,35,8,43,0,3983,318,2553,655,7232,7193,69
27,Dhule Region,Jalgaon,81555,28009,41180,5600,4546,493,690,0,11260,726,251,41,54,44,0,3315,0,2917,1050,11168,12300,74
28,Dhule Region,Nandurbar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Aurangabad Region,Aurangabad,81242,47238,46661,10986,6694,242,2330,0,14199,1236,289,96,97,70,0,6629,309,3798,1756,7657,5951,152
30,Aurangabad Region,Jalna,20468,3767,7176,1581,1731,128,420,0,1916,242,62,5,8,54,0,1075,111,862,158,3335,3120,23
31,Aurangabad Region,Beed,24598,5999,12470,1923,4462,1,78,0,2492,440,18,17,8,7,0,2336,83,974,105,3453,3469,18
32,Latur Region,Latur,23279,6017,14016,2208,2758,390,190,0,3976,353,75,34,6,9,0,2799,83,986,244,3720,3883,4
33,Latur Region,Osmanabad,13198,1524,2786,1320,2145,54,87,0,1041,307,21,4,4,10,0,1708,41,673,140,3091,2522,13
34,Latur Region,Ambejogai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Nanded Region,Nanded,22797,9809,15884,2700,3349,42,142,0,5608,409,13,24,24,38,0,4556,222,731,9,2150,2042,3
36,Nanded Region,Parbhani,20886,5114,12565,1220,3187,17,552,0,2079,319,88,24,68,15,0,1508,16,859,32,2524,2203,39
37,Nanded Region,Hingoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Amrawati Region,Amrawati,33351,29795,50414,4178,3100,319,322,0,8260,493,230,17,9,28,0,3322,152,968,980,4426,3826,141
39,Amrawati Region,Buldhana,27600,6496,13003,1347,2131,180,465,0,3245,438,188,12,14,35,0,1327,34,1018,406,5469,4810,63
40,Amrawati Region,Yawatmal,24564,13259,24593,2002,2397,48,357,0,3623,399,326,15,7,18,0,2002,103,488,396,2356,2429,43
41,Amrawati Region,Akola,41444,21900,30166,3997,4127,12,639,0,5823,430,284,15,17,30,0,2862,74,952,410,5621,5035,102
42,Amrawati Region,Washim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Nagpur(U) Region,Nagpur,105619,178640,180572,30431,10852,663,680,0,12746,2187,316,43,446,243,0,9715,924,7800,2547,4513,4618,553
44,Nagpur(U) Region,Wardha,15119,14316,14547,1812,972,28,109,0,1970,237,51,5,46,9,0,933,15,373,242,1265,1247,9
45,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur(R) Region,Nagpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Nagpur(R) Region,Gadchiroli,8412,2506,1598,201,531,1,72,0,96,4,7,7,19,19,0,168,12,160,21,1314,1292,3
48,Nagpur(R) Region,Chandrapur,30423,27744,18781,3065,3470,44,261,0,3205,354,56,54,69,118,0,3308,124,916,504,3148,3078,121
49,Nagpur(R) Region,Gondia,24455,15614,20325,1772,2102,71,69,0,507,239,17,18,59,16,0,1806,37,448,111,4826,4580,19
50,Nagpur(R) Region,Bhandara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
