S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai(C),191703,96588,7324,207124,8456,2173,36854,3485,0,4410,1807,22,1018,982,11,8569,1019,10881,5812,829,832,4003
2,Greater Mumbai,Mumbai(W),283898,155957,14927,233590,10431,943,7322,4429,63092,0,1914,946,315,482,0,4436,144,5776,19683,479,113,348
3,Greater Mumbai,Mumbai€,148512,57641,10929,73877,4953,815,6433,1756,44761,0,778,56,322,204,0,2127,534,3479,6589,31,16,858
4,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thane Region,Thane,471477,167432,13187,290192,36976,5162,3206,22233,86159,1491,6832,261,1563,968,2838,69345,8891,47972,38659,1151,6591,1816
6,Thane Region,Kalyan,193484,73451,7154,35381,3807,94,193,2347,34666,374,513,85,167,275,6,7704,607,4624,8488,683,297,336
7,Thane Region,Vashi Navi Mumbai,67938,10790,5,60435,4047,570,1,6797,10534,25,2511,185,291,185,5241,11344,4041,4421,10802,31,2006,52
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,193158,48935,2315,66190,15909,337,160,11455,20238,30,315,318,266,444,8093,16949,1846,11363,6674,1258,3808,3906
11,Panvel Region,Ratnagiri,78412,32487,5065,14091,5041,508,59,497,15054,590,224,48,62,195,27,5537,113,5314,4284,504,570,377
12,Panvel Region,Sindhudurg,46924,13741,4366,6107,1424,725,191,80,8258,544,41,21,37,66,2,2171,32,2393,1359,445,448,47
13,Kolhapur Region,Kolhapur,384025,62223,46135,46484,18255,81,276,489,13415,897,673,70,99,207,148,12784,759,7666,6704,16289,17157,873
14,Kolhapur Region,Sangli,235816,42163,39324,25793,12345,352,1084,132,7436,873,44,55,29,136,1,6377,368,6858,4996,13774,12294,303
15,Kolhapur Region,Satara,239735,29942,33265,23639,12410,87,1865,2194,9254,675,125,107,38,125,0,7376,276,8133,6105,17982,16265,550
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,915400,308733,194452,246286,39527,950,0,14331,61531,5254,5866,441,1380,1091,53,31068,4011,21652,24781,17234,9831,3922
18,Pune Region,Solapur,233548,39381,60031,16410,11630,215,140,949,8381,249,84,28,67,164,25,7911,683,8386,5136,11848,11645,102
19,Pune Region,Pimpri-Chinchwad,405260,93674,38986,76246,14022,78,0,7455,6273,793,2462,57,474,399,0,11194,716,14558,16876,9072,3817,1064
20,Pune Region,Baramati,100331,3126,594,9858,3616,18,0,473,1425,1,96,14,54,54,6,4087,499,4800,3825,7726,9894,295
21,Pune Region,Akluj,60733,6,14,7426,1640,13,0,218,745,45,40,14,10,76,35,1159,122,1790,1509,4048,2911,336
22,Nashik Region,Nashik,425898,103455,49684,63352,22856,93,1980,1847,23844,826,400,275,196,325,23,9237,446,13761,6458,33998,21240,904
23,Nashik Region,Ahmednagar,197661,29573,36619,13705,7199,254,873,725,5206,761,56,23,53,114,4,5035,241,6111,5113,11761,9344,1834
24,Nashik Region,Srirampur,212398,13904,21555,15042,8928,776,1453,1189,5528,0,27,143,60,125,1,4775,440,5615,6090,17463,13991,654
25,Nashik Region,Malegaon,110237,7286,4144,6347,2992,2,1089,230,7433,2,48,40,9,31,0,4004,105,4126,1352,10626,10616,107
26,Dhule Region,Dhule,104173,17945,25691,10427,5629,161,63,2543,10421,634,225,62,21,78,3,8090,312,3689,2917,10628,9759,165
27,Dhule Region,Jalgaon,245247,43004,52335,19905,7377,540,31,2445,20941,709,280,96,75,144,0,5978,293,5060,6079,18515,16939,340
28,Dhule Region,Nandurbar,38470,1614,1785,2884,1581,964,4,205,603,9,24,13,21,13,0,548,59,632,1219,4167,2661,168
29,Aurangabad Region,Aurangabad,331540,65773,46671,29736,16578,623,0,2086,24359,4591,563,448,582,271,0,8048,2222,10971,12286,15237,10186,256
30,Aurangabad Region,Jalna,91997,5749,8846,5442,3699,128,0,679,4282,242,6,28,0,111,0,1846,210,1930,2895,7657,5114,194
31,Aurangabad Region,Beed,74183,7232,16232,4197,9173,1,0,87,6527,440,89,33,16,7,0,2846,135,2486,3965,5686,4677,27
32,Latur Region,Latur,98268,11788,24991,11435,6006,394,62,827,8914,398,144,73,36,38,0,5821,107,3220,4402,7391,5809,101
33,Latur Region,Osmanabad,59031,2693,4091,5189,3516,54,3,705,4027,307,14,19,3,31,0,3839,159,3230,2152,5993,4153,213
34,Latur Region,Ambejogai,23966,49,1390,2232,1856,0,35,209,2919,0,6,10,0,0,18,1158,48,505,1257,1513,1073,5
35,Nanded Region,Nanded,97439,12763,23039,7643,5894,58,0,655,16182,427,303,46,54,105,4,6316,309,1805,2411,3688,2957,25
36,Nanded Region,Parbhani,63629,3392,10046,3660,3865,18,311,75,7706,319,32,30,8,99,200,2491,113,1214,1666,4178,2433,175
