S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
15,Kolhapur Region,Satara,127164,22689,24686,10764,9013,237,2439,0,7353,1037,48,32,17,54,28,4691,213,4801,3510,12490,12861,98
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,440704,264480,157183,108184,28838,949,5005,0,55798,4707,1825,222,1227,735,41,22831,2862,12570,14214,13830,11794,1470
18,Pune Region,Solapur,135283,29524,51360,9821,9737,215,345,0,7680,241,88,8,15,71,0,6111,289,4845,2181,9210,9728,16
19,Pune Region,Pimpri-Chinchwad,155866,77776,35568,23274,9700,70,950,0,5494,362,465,40,410,235,0,4422,285,7081,6337,4741,2404,173
20,Pune Region,Baramati,2261,84,26,92,32,0,7,0,1,0,0,0,0,0,0,33,7,63,82,34,65,0
21,Pune Region,Akluj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Nashik Region,Nashik,245567,77485,52068,31387,20147,91,3030,0,24102,768,184,164,106,182,0,8594,346,9105,3341,26895,20738,606
23,Nashik Region,Ahmednagar,94496,20428,31838,5446,4537,264,501,0,3803,746,37,14,15,31,0,2884,121,2655,2010,7297,6379,116
24,Nashik Region,Srirampur,113742,8971,16486,7197,6060,775,1676,0,3486,0,13,63,44,89,0,3676,301,2895,2166,11690,11465,115
25,Nashik Region,Malegaon,5825,0,67,532,106,0,13,0,271,0,0,1,2,1,0,183,0,306,185,332,257,14
26,Dhule Region,Dhule,61055,14804,20461,5740,3964,165,1411,0,7635,633,142,38,10,57,0,4850,291,2796,1277,7900,7693,84
27,Dhule Region,Jalgaon,131076,29785,48697,8993,5528,505,1199,0,14894,726,295,47,46,85,0,3756,270,3621,2165,12509,13510,103
28,Dhule Region,Nandurbar,6433,37,474,440,396,2,88,0,185,0,8,1,13,2,0,79,0,100,134,497,454,2
29,Aurangabad Region,Aurangabad,138509,53685,47136,16982,8971,251,2600,0,20872,2119,327,173,122,89,0,7393,405,5205,3392,9135,6344,152
30,Aurangabad Region,Jalna,38098,4227,7865,2206,2457,128,443,0,2408,242,6,9,9,58,0,1094,112,1376,876,4221,3644,23
31,Aurangabad Region,Beed,41467,6879,14055,3209,6090,1,75,0,3978,440,21,23,13,7,0,3023,229,1846,645,4433,4139,18
32,Latur Region,Latur,40985,6276,16988,4176,3698,390,448,0,6001,353,85,44,20,16,4,3227,83,1639,1316,4315,4327,4
33,Latur Region,Osmanabad,21791,1564,3358,2115,2237,54,158,0,1828,307,23,7,2,12,0,1769,41,883,496,3755,3012,16
34,Latur Region,Ambejogai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Nanded Region,Nanded,41842,10446,17631,4107,4462,42,131,0,9220,409,13,24,27,48,1,5089,222,873,25,2520,2309,3
36,Nanded Region,Parbhani,26282,2790,8581,1484,3021,17,278,0,4412,319,50,24,68,30,0,1423,58,874,114,1524,1292,31
37,Nanded Region,Hingoli,15212,2440,6077,1206,1409,0,294,0,1280,0,87,0,6,22,0,813,39,645,132,1807,1490,7
38,Amrawati Region,Amrawati,62079,31931,61693,6646,3643,321,716,0,10726,492,200,19,27,44,2,3485,155,1199,1723,5024,4097,146
39,Amrawati Region,Buldhana,50400,6768,16303,2284,2642,180,927,0,5621,438,134,18,29,71,0,1426,35,1373,920,6048,5243,68
40,Amrawati Region,Yawatmal,43773,14703,30058,3251,3052,51,843,0,6043,396,220,18,8,39,74,2355,108,697,881,2816,2849,48
41,Amrawati Region,Akola,41052,16459,25631,4213,3094,6,1298,0,5761,444,158,16,18,46,3,2566,60,872,776,3427,3076,90
42,Amrawati Region,Washim,26830,7369,13239,1585,1575,3,302,0,2862,0,75,5,0,18,0,699,18,398,418,3060,2598,16
43,Nagpur(U) Region,Nagpur,194807,195731,220489,44054,12550,662,984,0,13929,2188,302,155,1058,283,738,10812,967,9183,3972,4808,4866,734
44,Nagpur(U) Region,Wardha,26747,16031,18348,2246,1200,28,132,0,2654,237,47,4,1,10,0,949,14,436,519,1443,1453,6
45,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur(R) Region,Nagpur,3832,138,612,95,56,0,10,0,76,0,0,0,55,0,33,6,0,146,30,125,51,0
47,Nagpur(R) Region,Gadchiroli,14099,3088,1702,367,679,1,144,0,149,4,8,6,17,33,4,155,12,188,30,1419,1360,6
48,Nagpur(R) Region,Chandrapur,52646,29420,30680,5550,4211,53,480,0,4054,354,68,55,76,158,18,4521,125,1235,1014,3620,3459,192
49,Nagpur(R) Region,Gondia,24094,10583,13157,1739,1360,0,197,0,163,0,2,9,17,14,0,369,10,369,94,2291,2296,17
50,Nagpur(R) Region,Bhandara,22052,8947,14453,970,1086,9,102,0,589,239,18,21,44,10,1,636,29,251,181,3318,2423,9
