S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai(C),104354,66720,7384,169635,11437,2697,33866,0,0,5382,1876,67,957,912,0,8738,1165,9535,4583,869,850,3926
2,Greater Mumbai,Mumbai(W),110219,108187,15255,122399,5256,960,9976,0,57110,0,1571,447,230,283,0,4276,217,5117,9881,399,82,71
3,Greater Mumbai,Mumbai€,58282,46831,9876,49740,4388,293,10967,0,41417,0,926,49,307,141,0,3429,580,4050,4559,124,133,581
4,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thane Region,Thane,185144,116812,12152,132789,30530,722,5630,0,64373,821,2194,146,1095,255,0,49370,8243,24865,11530,1195,4883,948
6,Thane Region,Kalyan,60356,57316,9091,13036,3225,95,1149,0,29610,341,322,30,108,116,0,6133,394,2258,4348,161,219,96
7,Thane Region,Vashi Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,55585,41003,2311,24832,8805,309,7050,0,15483,605,144,194,33,186,0,8853,907,4886,3210,498,666,602
11,Panvel Region,Ratnagiri,35702,18996,3966,6618,3612,475,166,0,12666,588,130,36,54,86,0,4202,101,3216,2199,448,462,56
12,Panvel Region,Sindhudurg,18236,9280,2097,2463,640,674,138,0,7601,342,19,17,32,19,0,1395,25,1299,909,235,334,29
13,Kolhapur Region,Kolhapur,156438,61118,55351,18866,13069,606,335,0,11442,905,356,14,17,113,0,7895,697,4831,2199,11504,14679,128
14,Kolhapur Region,Sangli,113361,32655,29765,10219,8153,269,555,0,5453,833,40,16,23,53,0,4516,229,4302,1784,9609,10119,116
15,Kolhapur Region,Satara,113132,22375,23473,9323,8475,291,2359,0,7069,1030,51,27,9,51,0,4564,196,4609,2805,12337,12758,98
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,389599,249253,149339,95571,28068,947,4473,0,55129,4380,1619,64,1212,719,0,22507,2786,12013,12816,13701,11722,1461
18,Pune Region,Solapur,120062,28854,49202,9104,9322,215,326,0,7498,241,80,10,15,67,0,5912,289,4521,1791,9062,9594,12
19,Pune Region,Pimpri-Chinchwad,128319,76008,32474,20385,9122,72,663,0,5415,349,424,26,499,224,0,4363,290,6347,5565,4514,2272,168
20,Pune Region,Baramati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Pune Region,Akluj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Nashik Region,Nashik,213947,75240,47411,28275,18963,91,2866,0,23341,768,167,163,76,158,0,8195,325,8073,2678,26032,20135,606
23,Nashik Region,Ahmednagar,81709,19770,30599,4805,4375,264,427,0,3474,746,31,16,9,28,0,2656,120,2614,1782,7190,6306,55
24,Nashik Region,Srirampur,100816,8828,15722,6443,5761,775,1559,0,3253,0,13,61,44,87,0,3729,140,2739,1702,11407,11235,74
25,Nashik Region,Malegaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Dhule Region,Dhule,54503,14323,19418,4987,3968,165,1325,0,7280,628,135,37,10,45,0,4439,280,2674,959,7652,7546,82
27,Dhule Region,Jalgaon,112590,28515,46545,7493,5141,501,1085,0,13726,726,291,46,46,72,0,3347,266,3280,1664,12129,13309,83
28,Dhule Region,Nandurbar,3079,25,259,221,162,0,89,0,81,0,0,0,0,0,0,51,0,48,38,147,182,2
29,Aurangabad Region,Aurangabad,115773,50492,47116,14390,7416,242,2493,0,18671,1447,306,140,100,81,0,6655,338,4768,2267,8573,6275,152
30,Aurangabad Region,Jalna,30714,3898,7815,2002,2173,128,440,0,2377,242,43,7,10,55,0,963,111,1195,673,3841,3448,23
31,Aurangabad Region,Beed,36231,6836,13687,2933,5724,1,75,0,3709,440,21,21,13,7,0,2959,227,1785,405,4348,4065,18
32,Latur Region,Latur,35685,6135,15671,3224,3209,390,423,0,5391,353,81,42,13,14,0,3092,83,1342,839,4114,4237,4
33,Latur Region,Osmanabad,19387,1557,3136,2007,2174,54,139,0,1604,307,18,5,2,12,0,1766,41,778,386,3719,2945,14
34,Latur Region,Ambejogai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Nanded Region,Nanded,34830,10326,16927,3492,4036,42,139,0,8028,409,13,24,27,38,0,4967,222,834,25,2306,2227,3
36,Nanded Region,Parbhani,19396,2760,8074,915,2516,17,278,0,3341,319,58,24,68,9,0,1315,56,784,46,1416,1186,9
37,Nanded Region,Hingoli,12856,2425,5940,1055,1222,0,311,0,1046,0,68,0,2,8,0,749,37,494,105,1583,1385,7
38,Amrawati Region,Amrawati,50309,30915,58818,5860,3417,319,641,0,9778,500,220,18,24,41,0,3372,154,1054,1376,4678,3947,146
39,Amrawati Region,Buldhana,41840,6647,15169,1955,2403,180,829,0,4939,438,168,17,16,40,0,1387,35,1187,672,5830,5191,67
40,Amrawati Region,Yawatmal,36606,14289,28799,2825,2816,47,754,0,5138,399,242,15,6,19,0,2233,105,575,647,2613,2676,46
41,Amrawati Region,Akola,35134,16043,23564,3745,3029,7,1253,0,5209,430,162,14,18,30,0,2499,59,772,582,3416,3055,91
42,Amrawati Region,Washim,23566,7323,12828,1433,1448,3,283,0,2416,0,107,5,0,11,0,667,19,365,299,2886,2504,15
43,Nagpur(U) Region,Nagpur,167272,190047,208520,38991,11942,663,949,0,13581,2188,321,113,765,267,0,10904,961,8739,3318,4756,4840,701
44,Nagpur(U) Region,Wardha,21553,15578,17237,2026,1110,28,131,0,2455,237,51,7,1,10,0,958,15,408,379,1415,1426,9
45,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur(R) Region,Nagpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Nagpur(R) Region,Gadchiroli,11889,2857,1662,289,649,1,134,0,113,4,8,6,17,27,0,153,12,183,25,1394,1355,6
48,Nagpur(R) Region,Chandrapur,42251,28508,28738,4489,3949,49,395,0,3692,354,61,55,78,131,0,4155,125,1051,761,3465,3335,153
49,Nagpur(R) Region,Gondia,19912,10221,12497,1575,1303,0,177,0,138,0,0,8,17,11,0,339,10,327,76,2210,2232,17
50,Nagpur(R) Region,Bhandara,17791,8910,13470,851,1017,7,72,0,503,239,18,21,44,8,0,606,29,220,136,3126,2285,3
