S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai(C),158878,82175,7422,197344,10965,2250,37773,0,0,5590,1936,42,1051,1015,11,9064,1102,10509,5524,829,831,3967
2,Greater Mumbai,Mumbai(W),207313,147179,15197,180514,8987,955,10557,0,61112,0,1917,797,287,405,0,4709,145,5104,17250,477,78,315
3,Greater Mumbai,Mumbai€,109141,54341,10866,58728,4153,243,7156,0,43750,0,791,87,251,158,0,2076,532,3196,5596,125,83,596
4,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thane Region,Thane,335620,150713,13011,218418,36265,5131,17189,0,77335,1455,5827,259,1523,590,4769,67378,12415,42202,27903,1185,5270,1136
6,Thane Region,Kalyan,132018,67099,7652,22217,3735,88,1953,0,33102,342,422,63,134,213,6,6796,563,3401,6927,307,244,161
7,Thane Region,Vashi Navi Mumbai,37827,3492,5,28273,2498,381,3293,0,3489,17,885,0,187,41,1441,6580,331,2739,3361,31,359,19
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,122472,48305,2315,45950,12963,315,10385,0,19727,15,253,254,175,326,4632,13247,1404,8838,5047,642,2713,2251
11,Panvel Region,Ratnagiri,59524,25132,3967,9702,4155,483,372,0,14604,588,172,45,58,158,27,4854,123,4213,3324,485,535,113
12,Panvel Region,Sindhudurg,33927,11228,3979,3682,1122,725,39,0,7721,342,24,20,34,59,1,1660,31,1629,1168,316,368,41
13,Kolhapur Region,Kolhapur,297194,55262,44297,34189,15827,92,579,0,12173,922,517,45,87,184,0,10048,630,6043,5034,14531,15563,739
14,Kolhapur Region,Sangli,176637,37283,36130,15591,10143,352,792,0,6795,733,39,30,24,109,0,5410,271,5459,3693,11428,11217,166
15,Kolhapur Region,Satara,179357,24880,27881,15476,10431,114,3095,0,8848,617,92,56,27,98,0,5939,241,6071,4952,14572,13865,184
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
