S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai(C),181692,90582,7347,201515,9436,2171,34961,3357,0,4081,1839,18,1033,1039,11,9185,1102,11033,6032,829,832,4001
2,Greater Mumbai,Mumbai(W),259169,153025,15203,214427,10419,943,8575,2673,61334,0,2023,900,316,459,0,4735,139,5588,18962,479,113,348
3,Greater Mumbai,Mumbai€,134581,57471,10923,68531,4918,497,5456,1936,43382,0,808,68,287,190,0,2092,532,3358,6345,125,84,856
4,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thane Region,Thane,428961,159666,13115,261642,36503,5133,3075,20761,81381,1455,6639,259,1531,838,4075,70317,11084,46268,35204,1118,6016,1183
6,Thane Region,Kalyan,169152,73451,7154,30157,3804,94,69,2272,33781,371,476,82,162,256,6,7481,603,4236,8011,585,270,298
7,Thane Region,Vashi Navi Mumbai,62851,3920,5,51314,3603,570,1,6608,10086,337,2335,166,273,157,5488,11914,3928,4627,10075,31,1546,42
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,172634,48935,2315,60722,14796,337,160,11501,20208,27,314,303,231,409,7161,16247,1739,10489,6255,1084,3782,3799
11,Panvel Region,Ratnagiri,71027,28624,4624,11978,4692,501,55,482,14856,588,207,49,61,179,27,5279,114,4882,4011,497,560,198
12,Panvel Region,Sindhudurg,42578,12710,4158,5125,1441,725,1,81,8039,342,36,21,37,76,5,2026,32,2153,1294,426,441,47
13,Kolhapur Region,Kolhapur,341785,59576,46133,40787,17958,89,276,433,13137,897,633,49,96,187,25,11939,730,6825,6185,15725,16623,842
14,Kolhapur Region,Sangli,212005,40367,38199,21814,11275,352,892,104,7188,873,43,44,29,120,0,6109,360,6091,4637,12684,11808,241
15,Kolhapur Region,Satara,215930,27749,31188,19901,11431,101,1791,2138,9101,618,128,81,37,114,0,6997,283,7429,5784,16602,15077,444
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,807767,310134,194312,217283,39063,950,0,12923,60613,5254,5206,422,1380,1008,53,29371,3900,20009,23081,16541,9810,3650
18,Pune Region,Solapur,209097,37011,57965,14803,10992,215,0,881,8085,251,104,30,63,142,25,7682,552,7701,4508,11044,11389,123
19,Pune Region,Pimpri-Chinchwad,354005,93619,38672,64185,13603,65,0,6557,6018,623,2105,52,464,365,0,10277,558,12185,14709,7596,3502,816
20,Pune Region,Baramati,84857,2855,584,7486,3326,18,0,583,998,1,110,9,48,49,6,3869,441,4243,3561,6328,8463,244
21,Pune Region,Akluj,47324,6,14,6155,1316,13,0,144,428,45,25,12,6,76,24,947,73,1479,1270,3106,2286,208
22,Nashik Region,Nashik,382934,99775,49668,55288,23632,91,1904,1595,23524,826,321,266,196,309,5,8840,425,12308,5866,31492,20222,816
23,Nashik Region,Ahmednagar,179957,26618,36210,11599,6673,254,874,617,4573,761,59,21,42,113,4,4905,219,5548,4891,10540,8716,1667
24,Nashik Region,Srirampur,190789,11947,21031,12952,8153,776,1371,1135,5046,0,18,129,59,117,1,4710,448,4973,5271,15837,13126,346
25,Nashik Region,Malegaon,93952,6316,4104,5659,2666,2,1008,213,6840,2,26,36,7,30,0,4198,104,3424,1160,8376,8678,106
26,Dhule Region,Dhule,96539,16693,24929,9394,5268,163,0,2521,9993,641,196,57,21,70,3,7967,307,3538,2634,9995,9336,130
27,Dhule Region,Jalgaon,223190,41247,51756,17677,7122,539,31,2376,19520,707,271,79,73,115,0,5691,277,4930,5112,16996,16133,274
28,Dhule Region,Nandurbar,32670,739,1535,2125,1335,662,0,218,604,7,18,13,21,13,0,550,60,553,1084,3395,2240,168
29,Aurangabad Region,Aurangabad,293798,63908,46770,27501,15516,1009,0,2186,24233,4225,476,394,464,232,0,7611,1862,9720,10320,14088,9508,256
