S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
14,Kolhapur Region,Sangli,193806,38384,37079,18547,10601,352,3,908,6938,873,42,35,25,114,0,5835,341,5826,4201,12053,11662,226
15,Kolhapur Region,Satara,196930,26318,29504,17506,10918,109,1619,1961,9029,613,108,68,38,108,0,6579,254,6720,5458,15676,14591,304
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,715709,307787,191175,198428,39631,950,0,12504,60189,5254,4905,429,1375,945,53,28723,3403,17695,20700,16059,9482,3391
18,Pune Region,Solapur,192244,35342,56647,13188,10674,215,0,641,8071,251,105,20,44,135,25,7553,94,7349,4049,10590,11084,96
19,Pune Region,Pimpri-Chinchwad,305855,93635,38679,52592,13086,65,0,5538,5926,550,1751,49,460,337,0,9208,445,10976,13115,6665,3325,628
20,Pune Region,Baramati,72946,2560,466,5717,3118,7,0,356,984,1,97,8,45,44,6,3475,431,3634,3278,5350,7749,204
21,Pune Region,Akluj,36461,5,14,5594,1044,13,0,111,309,45,22,7,4,72,0,770,60,1173,933,2376,1874,147
22,Nashik Region,Nashik,349141,97045,48955,49270,23154,91,2041,1335,23241,826,257,231,182,276,5,8498,432,11791,5420,29611,18352,779
23,Nashik Region,Ahmednagar,163754,24540,35617,10314,6744,254,678,660,4235,761,55,21,37,99,1,4788,208,5036,4404,9422,8036,1537
24,Nashik Region,Srirampur,174479,10888,20221,11447,7659,776,1068,1300,4658,0,19,113,54,115,1,4522,436,4428,4668,14620,12738,293
25,Nashik Region,Malegaon,81066,6314,4082,4824,2661,2,549,540,6263,2,13,32,6,29,0,3442,98,2889,1045,7069,7559,104
26,Dhule Region,Dhule,89669,15956,23971,8330,5017,157,0,2320,9841,616,188,56,21,70,1,7611,295,3410,2419,9342,8891,121
27,Dhule Region,Jalgaon,207638,38852,51446,16052,6906,528,0,2181,17157,707,252,69,1747,112,0,5256,279,4609,4365,15579,15306,180
28,Dhule Region,Nandurbar,27759,303,1370,1701,1061,526,0,203,600,7,18,11,20,10,0,384,60,423,865,2813,1959,167
29,Aurangabad Region,Aurangabad,259316,62334,46870,25475,14371,1122,0,2291,24112,3713,437,361,371,197,0,7283,1542,8708,8702,13032,8960,253
30,Aurangabad Region,Jalna,62298,6290,7874,3122,2564,128,0,418,2093,242,28,36,47,71,0,935,172,1688,2629,5344,4266,35
31,Aurangabad Region,Beed,63427,7056,15392,4148,8319,1,0,87,5633,440,60,49,16,7,0,2713,162,2182,2446,5120,4449,27
32,Latur Region,Latur,72868,8143,20936,7364,4745,387,0,652,8127,360,140,54,28,39,13,4438,90,2413,3287,6474,5355,20
33,Latur Region,Osmanabad,45154,1757,3759,4362,3127,54,0,329,3567,307,7,59,3,15,0,2748,146,2778,2529,5019,3697,109
34,Latur Region,Ambejogai,14138,68,1109,1330,1529,0,0,0,1944,0,0,3,0,0,0,1160,20,354,1256,1128,925,0
35,Nanded Region,Nanded,75437,49,1390,2232,1856,0,35,209,2919,0,6,10,0,0,18,1158,48,505,1257,1513,1073,5
36,Nanded Region,Parbhani,48906,3041,9737,2761,3697,18,0,402,6261,319,45,20,8,86,130,2021,104,1153,1001,2971,2055,99
37,Nanded Region,Hingoli,29105,2465,6393,2349,2364,0,0,332,2866,96,107,13,11,44,0,1152,56,1138,445,3340,2474,22
38,Amrawati Region,Amrawati,116291,37561,71008,10196,4324,329,0,981,13622,524,208,28,24,96,0,4371,204,2405,2736,6089,4775,188
39,Amrawati Region,Buldhana,89031,7903,19775,3035,2952,186,1360,0,8917,440,133,60,20,91,0,1947,50,2272,1906,7972,6007,115
40,Amrawati Region,Yawatmal,75494,18186,35527,5458,3433,40,0,1055,9139,395,201,41,56,67,313,3164,113,1634,1728,4623,3952,58
41,Amrawati Region,Akola,71772,21633,30166,6523,3495,6,1162,500,8169,450,154,38,25,71,0,3121,57,1577,1499,4158,3522,139
42,Amrawati Region,Washim,42608,8004,14616,2242,1778,2,0,436,4437,0,50,17,0,36,0,880,12,785,784,4343,3244,19
43,Nagpur(U) Region,Nagpur,300640,237446,260937,64511,20482,842,0,1771,15309,1633,435,303,1170,349,531,11513,1394,10373,5412,4951,4944,1085
44,Nagpur(U) Region,Wardha,55872,17087,24889,3682,1645,28,0,153,3932,239,42,15,3,15,0,1188,19,1040,1271,2942,2069,62
45,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur(R) Region,Nagpur,46425,14133,12656,2978,1479,33,0,206,1152,845,56,44,118,23,104,2065,47,1598,775,2647,894,208
47,Nagpur(R) Region,Gadchiroli,23884,4563,1833,785,872,1,0,220,443,4,17,8,28,58,4,271,12,363,80,2114,1788,7
48,Nagpur(R) Region,Chandrapur,98334,34054,38417,9421,5065,51,0,648,6139,358,81,107,85,209,360,7045,137,2346,1601,5590,4305,266
49,Nagpur(R) Region,Gondia,47156,12466,14478,3044,1669,0,191,25,539,3,40,31,22,25,4,586,36,726,172,3142,2843,29
50,Nagpur(R) Region,Bhandara,42335,8969,17198,1899,1247,10,0,124,941,239,28,31,66,48,157,1082,49,446,245,4760,3095,20
