S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai(C),203033,103867,7325,219044,8607,2173,27307,3792,0,4850,1269,17,513,585,11,2561,117,10658,4931,129,82,305
2,Greater Mumbai,Mumbai(W),310162,166970,14785,255534,10412,936,8246,3296,64101,0,2143,1181,315,524,0,4416,143,5995,20459,479,113,348
3,Greater Mumbai,Mumbai€,167344,60421,10922,87948,4873,834,6267,2006,44614,0,759,146,320,219,0,720,111,3503,6671,31,9,859
4,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thane Region,Thane,526862,181588,13255,312489,36884,5161,3442,24302,86668,1686,7316,280,1615,1210,3923,70460,9405,50709,45324,1273,7145,2263
6,Thane Region,Kalyan,227026,73704,7154,44940,4056,94,215,2508,34803,384,584,91,174,299,8,8296,613,5265,9458,713,303,354
7,Thane Region,Vashi Navi Mumbai,84574,11146,5,70947,4219,570,1,7255,10978,141,2730,202,321,210,4783,11109,4019,3902,11577,31,2657,72
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,214438,48935,2315,71397,17026,337,160,11648,20182,46,335,338,311,458,9546,17506,2082,12181,6962,1443,3846,4182
11,Panvel Region,Ratnagiri,85843,36336,5396,16698,5603,510,59,518,15426,579,260,61,86,204,37,5961,113,6304,4512,523,581,416
12,Panvel Region,Sindhudurg,51902,15303,4689,7422,1717,725,238,80,7966,1076,43,18,38,76,2,2636,34,2716,1436,474,458,47
13,Kolhapur Region,Kolhapur,436372,67356,46702,53113,19246,81,328,560,13661,897,737,116,106,216,211,13287,826,9615,8332,17706,18331,1150
14,Kolhapur Region,Sangli,267836,44717,42034,30923,14014,352,1255,139,7441,823,44,76,31,154,1,7246,444,8221,5464,15653,13373,482
15,Kolhapur Region,Satara,270370,33797,36423,28557,13455,87,1977,2463,9522,536,134,158,44,145,0,8280,289,9536,6546,19701,17283,707
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,1049463,307220,194515,284780,40205,950,0,15902,62889,5536,6002,1659,640,1145,53,34435,4330,23771,26889,17883,9887,4460
18,Pune Region,Solapur,260041,42577,62313,18359,12435,215,140,949,8648,263,50,31,82,175,25,8215,724,8904,6010,13145,12559,84
19,Pune Region,Pimpri-Chinchwad,480654,93602,38980,96833,14490,78,0,8985,6584,1060,3065,57,474,438,0,12715,889,17668,19303,10540,4107,1585
20,Pune Region,Baramati,121313,4118,605,12451,3941,20,0,358,1490,5,93,12,55,59,6,4461,500,5481,4188,9509,11464,351
21,Pune Region,Akluj,77475,6,14,8691,2025,13,0,233,1033,45,49,14,10,77,46,1493,125,2397,1474,5043,3671,420
22,Nashik Region,Nashik,479761,110279,49781,72624,23089,93,2091,2004,23889,926,568,316,197,352,25,10009,520,16399,6822,37727,22913,1074
23,Nashik Region,Ahmednagar,221990,33840,37074,17095,8088,254,877,930,5349,762,60,29,57,127,4,5606,274,7425,5469,13820,11334,2021
24,Nashik Region,Srirampur,247838,18425,26320,17743,9833,784,1610,1329,5692,0,46,162,60,126,62,5048,438,5889,7077,19277,15043,820
25,Nashik Region,Malegaon,127840,7658,4585,7790,3022,2,1171,251,7692,2,48,67,9,40,0,3810,105,4468,1812,12782,12304,108
26,Dhule Region,Dhule,118770,19365,26900,12128,3379,148,124,2582,10800,629,245,71,77,84,2,8484,358,3893,4203,11961,11696,232
27,Dhule Region,Jalgaon,275070,48119,53120,22025,7722,541,287,2464,21998,709,278,114,79,151,0,6462,300,5381,7520,20738,18125,369
28,Dhule Region,Nandurbar,46111,3916,1859,4103,2042,1146,36,196,614,9,28,12,21,15,0,686,58,867,1694,5261,3192,170
29,Aurangabad Region,Aurangabad,371454,66426,46555,32043,18387,344,0,1970,24665,4936,622,507,742,313,0,8492,2600,12641,14290,16658,11008,256
30,Aurangabad Region,Jalna,109074,6086,9728,6342,3883,128,0,690,4569,242,14,49,0,111,0,2053,212,2017,3558,8489,5470,219
31,Aurangabad Region,Beed,81113,7451,16452,4271,9649,1,0,81,6981,440,107,16,16,7,0,3009,127,2808,4811,6071,4812,27
32,Latur Region,Latur,112497,13620,27508,13582,6806,394,67,891,9473,398,144,97,36,43,0,6140,120,3713,5058,7955,6037,178
33,Latur Region,Osmanabad,69236,3789,4341,5888,3803,54,3,797,4179,307,14,23,5,33,0,4224,160,3521,2247,6839,4403,236
34,Latur Region,Ambejogai,31298,412,1566,2634,1974,0,35,224,3012,0,6,17,1,1,29,1285,62,730,1769,2171,1464,24
35,Nanded Region,Nanded,115242,13553,24239,9359,7118,58,221,673,17753,427,343,74,57,105,4,7020,310,2765,2952,3727,3058,95
36,Nanded Region,Parbhani,78387,3585,10336,4809,4318,18,319,98,9030,319,39,34,8,101,232,2605,167,1573,2302,4790,2615,200
37,Nanded Region,Hingoli,46285,2471,6454,3489,3318,0,0,337,3766,96,101,15,18,47,0,1485,62,1633,706,4312,3049,31
38,Amrawati Region,Amrawati,175263,44288,75802,16282,5063,338,29,1262,15040,532,264,61,28,178,0,6078,224,3764,3110,8083,5811,246
39,Amrawati Region,Buldhana,116222,9417,22801,4817,3806,186,145,1478,11193,440,133,98,20,126,0,2350,55,3290,2729,11488,7570,142
40,Amrawati Region,Yawatmal,110798,28838,39691,9271,4210,38,20,1149,10797,395,263,87,74,85,328,3798,115,2572,2202,6415,5031,60
41,Amrawati Region,Akola,100487,34532,31096,10787,3839,8,42,1865,9828,449,164,76,28,130,3,3791,71,2648,2000,6114,4613,216
42,Amrawati Region,Washim,59609,10089,15134,3162,2234,2,2,503,5738,0,32,28,0,52,0,958,25,1260,1048,5711,4113,26
43,Nagpur(U) Region,Nagpur,390102,293926,283810,89479,28244,842,0,2661,16417,1741,735,575,1307,525,896,12658,2275,12879,6161,5385,5263,1153
44,Nagpur(U) Region,Wardha,74629,17197,31844,5110,2524,61,0,290,4729,240,75,32,17,33,1,1337,23,1588,1870,4528,2678,188
45,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur(R) Region,Nagpur,93485,26588,23179,7304,4411,33,0,404,2223,1592,187,114,115,65,268,3697,75,3055,1141,5648,1647,455
47,Nagpur(R) Region,Gadchiroli,35609,6989,1910,1427,1006,1,0,261,547,4,40,16,37,123,4,296,13,609,121,3053,2229,11
48,Nagpur(R) Region,Chandrapur,139343,40613,44690,15554,5911,57,112,781,6852,358,136,170,89,287,606,7787,174,3349,1811,7446,5208,430
49,Nagpur(R) Region,Gondia,75334,14575,15170,4585,2140,0,221,65,796,3,75,55,26,53,4,819,45,1120,209,4094,3349,68
50,Nagpur(R) Region,Bhandara,61896,12948,19525,3251,1620,10,0,219,1072,251,35,43,67,64,164,1079,62,666,270,6256,3672,48
